Название улицы,Длина,Начальные координаты,Конечные координаты
,114.52000000000001,"(72.7786709, 40.5332164)","(72.7788007, 40.5322791)"
,164.978,"(72.761318, 40.487098)","(72.7631298, 40.486548)"
Сасыкбаева улица,66.81899999999999,"(72.761318, 40.487098)","(72.760567, 40.4872769)"
Мамырова улица,492.793,"(72.761318, 40.487098)","(72.764334, 40.4908361)"
Мамырова улица,748.636,"(72.761318, 40.487098)","(72.758987, 40.480618)"
Рахман улица,139.64000000000001,"(72.8277168, 40.5437796)","(72.8267682, 40.5427543)"
Парпиева улица,105.524,"(72.8277168, 40.5437796)","(72.8281082, 40.5446761)"
Сабирова К. улица,71.913,"(72.7720083, 40.5413283)","(72.7721142, 40.54197)"
Шамшат улица,71.084,"(72.7720083, 40.5413283)","(72.7728315, 40.5411967)"
Шамшат улица,281.274,"(72.7720083, 40.5413283)","(72.7687917, 40.541962)"
Алишера Новои улица,47.438,"(72.7725541, 40.5293987)","(72.7729607, 40.5296928)"
Алишера Новои улица,59.278,"(72.7725541, 40.5293987)","(72.772161, 40.5289572)"
,124.93599999999999,"(72.7725541, 40.5293987)","(72.7713313, 40.5300254)"
Авиценна улица,47.357,"(72.8080449, 40.5566018)","(72.8074878, 40.556649)"
,17.666,"(72.8080449, 40.5566018)","(72.808254, 40.5566034)"
Авиценна улица,631.806,"(72.8080449, 40.5566018)","(72.8099894, 40.5620427)"
Киргизская улица,61.242,"(72.7784562, 40.5425224)","(72.779, 40.5428865)"
Правды улица,238.291,"(72.7784562, 40.5425224)","(72.7803419, 40.540929)"
,46.004,"(72.7784562, 40.5425224)","(72.778056, 40.5422419)"
Турсунбай Абдуллаева улица,232.404,"(72.7784562, 40.5425224)","(72.7765047, 40.5439952)"
Киргизская улица,98.988,"(72.7836398, 40.5461042)","(72.7845187, 40.5466928)"
Киргизская улица,100.397,"(72.7836398, 40.5461042)","(72.7827794, 40.5454815)"
Курманжан Датка,124.507,"(72.7836398, 40.5461042)","(72.7846208, 40.5452687)"
Курманжан Датка,146.88,"(72.7836398, 40.5461042)","(72.7824494, 40.5470668)"
Курманжан Датка,41.578,"(72.7704338, 40.560822)","(72.7702041, 40.5611527)"
Курманжан Датка,596.797,"(72.7704338, 40.560822)","(72.7732283, 40.5559575)"
Ленина улица,463.02,"(72.7704338, 40.560822)","(72.7735227, 40.5573832)"
Убайдила Садыкова улица,113.527,"(72.8108868, 40.5550324)","(72.8119871, 40.5556185)"
Убайдила Садыкова улица,157.964,"(72.8108868, 40.5550324)","(72.8093752, 40.5541963)"
Шарипова улица,233.453,"(72.8108868, 40.5550324)","(72.8113168, 40.5570636)"
Шарипова улица,469.538,"(72.8108868, 40.5550324)","(72.8104178, 40.5508501)"
Таттыбубу Турсунбаева улица,18.27,"(72.8050206, 40.5506412)","(72.8052138, 40.5505674)"
Артыкова улица,88.187,"(72.8050206, 40.5506412)","(72.8039952, 40.5505066)"
Артыкова улица,63.446,"(72.8050206, 40.5506412)","(72.8052438, 40.551186)"
,83.34,"(72.8057849, 40.5503492)","(72.8067603, 40.5504608)"
Таттыбубу Турсунбаева улица,66.696,"(72.8057849, 40.5503492)","(72.8060109, 40.5497745)"
Таттыбубу Турсунбаева улица,54.009,"(72.8057849, 40.5503492)","(72.8052138, 40.5505674)"
Шакирова А. улица,10.327,"(72.8083953, 40.5295978)","(72.808383, 40.5295054)"
Шакирова А. улица,15.985,"(72.8083953, 40.5295978)","(72.8084399, 40.5297375)"
Жумабаева Т. улица,67.603,"(72.8083953, 40.5295978)","(72.8091942, 40.5295677)"
Ленинград,96.421,"(72.8098042, 40.5241055)","(72.8087426, 40.5237881)"
Ленинград,20.844,"(72.8098042, 40.5241055)","(72.8100301, 40.5241807)"
Шакирова А. улица,165.76999999999998,"(72.8098042, 40.5241055)","(72.8105813, 40.5227373)"
Шакирова А. улица,46.988,"(72.8098042, 40.5241055)","(72.8095482, 40.5244806)"
Шакирова А. улица,57.203,"(72.8129524, 40.5187957)","(72.8132042, 40.5183182)"
Шакирова А. улица,76.512,"(72.8129524, 40.5187957)","(72.8125701, 40.5194194)"
Жумабаева улица,102.413,"(72.8129524, 40.5187957)","(72.8140564, 40.5191751)"
Жумабаева улица,134.839,"(72.8129524, 40.5187957)","(72.8114969, 40.5182995)"
Шакирова А. улица,7.162,"(72.8145041, 40.5162298)","(72.8145707, 40.51619)"
Шакирова А. улица,256.905,"(72.8145041, 40.5162298)","(72.8132042, 40.5183182)"
,110.28099999999999,"(72.8145041, 40.5162298)","(72.8150723, 40.517114)"
Шакирова А. улица,41.197,"(72.8079567, 40.5343941)","(72.8080787, 40.5340354)"
Монуева улица,45.844,"(72.8079567, 40.5343941)","(72.8074252, 40.5343116)"
Монуева улица,78.996,"(72.8079567, 40.5343941)","(72.8088644, 40.5345638)"
Абсамат Масалиева проспект,71.968,"(72.8085143, 40.5216837)","(72.8089186, 40.5211141)"
,44.936,"(72.8085143, 40.5216837)","(72.8080251, 40.5215255)"
Карасуйская,35.887,"(72.796462, 40.5412787)","(72.7964223, 40.5409577)"
Карасуйская,28.257,"(72.796462, 40.5412787)","(72.7966968, 40.5414588)"
,4.59,"(72.7996046, 40.5256795)","(72.7996212, 40.5256402)"
Абдыкадырова улица,389.15,"(72.7996046, 40.5256795)","(72.8038151, 40.5270951)"
Абдыкадырова улица,12.718,"(72.798466, 40.525344)","(72.7983383, 40.5252835)"
Ленина улица,217.19299999999998,"(72.798466, 40.525344)","(72.7975358, 40.5271404)"
Абдыкадырова улица,635.531,"(72.806714, 40.5277911)","(72.7996888, 40.5258483)"
Абсамат Масалиева проспект,69.818,"(72.806714, 40.5277911)","(72.8064851, 40.5283944)"
Абсамат Масалиева проспект,76.972,"(72.806714, 40.5277911)","(72.8069362, 40.5271198)"
Абдыкадырова,44.12,"(72.8046102, 40.5273136)","(72.8051116, 40.527424)"
